image_id,person,car,dog,cat,bicycle
2011_006135,1,0,0,0,0
2008_006482,0,0,0,0,0
2010_005054,0,0,0,0,0
2010_005732,0,0,0,1,0
2011_004044,1,0,0,0,0
2010_003343,0,0,0,0,0
2011_002435,1,0,0,0,0
2008_000795,1,0,0,0,0
2012_000947,1,0,0,0,0
2012_002188,1,0,0,0,0
2011_000222,0,0,0,0,0
2008_002182,0,0,0,1,0
2008_005821,0,0,0,0,0
2008_003288,1,0,0,0,0
2007_002120,1,0,0,0,0
2009_003838,0,1,0,0,0
2011_001128,0,0,0,1,0
2010_001540,0,0,0,0,1
2011_004050,1,0,0,0,0
2008_000959,1,1,0,0,0
2011_002421,0,0,0,0,0
2011_005428,1,0,0,0,0
2011_002347,0,0,0,1,0
2008_007788,0,0,0,0,0
2011_003059,0,0,0,0,0
2009_001949,0,0,0,0,0
2008_006496,1,0,0,0,0
2011_004736,1,0,0,0,0
2008_007950,1,0,0,0,0
2011_001896,0,0,0,0,1
2011_000550,0,0,0,0,0
2010_000138,0,0,0,0,0
2009_004831,1,0,0,0,1
2011_006121,1,0,0,0,0
2009_002298,0,0,0,0,0
2010_003419,0,0,0,0,0
2009_001961,0,0,0,0,0
2010_005068,0,0,0,0,0
2011_000578,0,0,1,0,0
2011_001666,0,0,0,0,0
2010_000110,1,0,1,0,0
2011_001100,1,1,0,0,0
2009_003810,0,0,1,0,0
2010_006207,1,0,0,0,0
2008_000971,1,0,0,0,0
2011_002409,0,0,0,1,0
2008_000965,1,0,0,0,0
2010_004404,0,0,0,0,0
2011_005372,1,0,0,0,0
2009_003804,0,0,0,0,0
2011_001114,0,0,0,0,0
2010_006213,1,0,0,0,0
2010_006575,1,0,0,0,0
2008_002814,0,0,1,0,0
2011_001672,1,0,0,0,0
2010_004362,1,0,1,0,0
2011_005414,1,0,0,0,0
2008_008487,1,0,0,0,0
2010_002713,0,0,0,1,0
2011_003065,0,1,0,0,0
2009_001975,0,0,0,0,0
2008_006441,1,0,0,0,0
2008_007987,0,0,0,0,0
2009_001746,0,0,0,0,0
2011_001699,0,0,0,0,0
2011_001841,0,0,0,1,0
2009_003151,0,0,0,0,0
2012_003533,1,0,0,0,0
2011_000587,1,0,0,0,0
2012_003255,1,0,0,0,0
2009_003637,1,0,0,0,0
2009_005246,0,0,0,0,0
2010_000689,0,1,0,0,0
2010_003380,0,0,0,0,0
2008_007039,0,0,0,1,0
2010_005929,0,0,1,0,0
2008_000756,0,0,0,0,0
2012_000984,1,0,0,0,0
2008_001448,0,0,0,0,0
2008_006327,0,0,0,0,0
2011_003924,1,0,0,0,0
2008_000742,1,0,0,0,0
2011_004093,1,0,0,0,0
2012_000748,1,0,0,0,0
2012_003241,1,0,0,0,0
2010_001583,0,0,0,0,0
2008_002155,1,0,0,0,0
2012_002639,1,0,0,0,0
2008_004242,1,0,0,0,0
2012_004248,1,0,0,0,0
2011_001855,0,0,1,0,0
2011_000593,1,0,0,0,0
2010_005083,0,0,1,0,0
2008_007993,1,0,0,0,1
2009_001752,0,0,0,0,0
